,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
0,Wattegama,LK,81.84,few clouds,6.7989,81.4808,Silanrich Hotel
1,Asosa,ET,59.23,overcast clouds,10.0667,34.5333,Blendana Hotel Assosa
2,Curumani,CO,75.15,overcast clouds,9.1999,-73.5427,Hotel Los Cubides
5,Vaini,TO,78.96,scattered clouds,-21.2,-175.2,Little Italy Hotel
7,Busselton,AU,56.8,overcast clouds,-33.65,115.3333,Observatory Guest House
10,Alice Springs,AU,90.95,broken clouds,-23.7,133.8833,Desert Palms Alice Springs
11,Rikitea,PF,71.96,broken clouds,-23.1203,-134.9692,People ThankYou
12,Sibolga,ID,84.58,broken clouds,1.7427,98.7792,SPOT ON 2220 PINK'S GUEST HOUSE
13,Coquimbo,CL,51.53,clear sky,-29.9533,-71.3436,Hotel San Juan
14,Ouargaye,BF,76.91,clear sky,11.5033,0.0572,Résidence le Cotonnier
16,Bluff,NZ,50.16,broken clouds,-46.6,168.3333,Bluff Homestead - Guesthouse & Campervan Park
18,Omboue,GA,75.56,overcast clouds,-1.5746,9.2618,Hotel Olako
20,Santa Clara,CU,76.66,light rain,22.4,-79.9667,El Carmen
21,Hilo,US,82.27,light rain,19.7297,-155.09,Hilo Hawaiian Hotel
22,Cape Town,ZA,64.11,broken clouds,-33.9258,18.4232,"Radisson Blu Hotel Waterfront, Cape Town"
23,Byron Bay,AU,70.95,broken clouds,-28.65,153.6167,Backpackers Inn
24,Saint-Leu,RE,72.46,scattered clouds,-21.15,55.2833,La Caz Oceane
26,Santa Isabel Do Rio Negro,BR,74.55,light rain,-0.4139,-65.0192,Pousada Barati Amazonas
27,Cidreira,BR,59.58,light rain,-30.1811,-50.2056,Casa 2 dormitórios Oasis Sul
30,Mataura,NZ,52.03,overcast clouds,-46.1927,168.8643,Esplanade Motels
31,Kapaa,US,82.38,scattered clouds,22.0752,-159.319,Sheraton Kauai Coconut Beach Resort
33,Hermanus,ZA,61.81,overcast clouds,-34.4187,19.2345,Misty Waves Boutique Hotel
34,Preston,GB,50.9,broken clouds,53.7667,-2.7167,Legacy Preston International Hotel - managed by Legacy Hotels and Resorts
35,Castro,BR,58.19,overcast clouds,-24.7911,-50.0119,Hotel Ponta Grossa Plateau
37,Bambous Virieux,MU,74.21,broken clouds,-20.3428,57.7575,Shandrani Beachcomber Resort & Spa
38,Port Elizabeth,ZA,71.89,clear sky,-33.918,25.5701,39 On Nile Guest House
39,Thompson,CA,59.16,few clouds,55.7435,-97.8558,Burntwood Hotel
40,Superior,US,53.47,broken clouds,46.7208,-92.1041,"Holiday Inn Express & Suites Superior - Duluth Area, an IHG Hotel"
41,Maridi,SS,63.86,few clouds,4.9158,29.4742,Traveler lodge
42,Katobu,ID,86.83,overcast clouds,-4.9408,122.5276,RYDHA IMRANSYAH BHARATA
43,Poum,NC,77.94,broken clouds,-20.2333,164.0167,Gite de Pagop
46,Hualmay,PE,61.39,scattered clouds,-11.0964,-77.6139,Albufera Medio Mundo Bungalows & Camping
47,Avarua,CK,77.05,broken clouds,-21.2078,-159.775,Little Polynesian Resort
48,Puerto Ayora,EC,66.54,overcast clouds,-0.7393,-90.3518,Finch Bay Galapagos Hotel
49,Georgetown,MY,86.9,thunderstorm,5.4112,100.3354,Cititel Penang
50,Kaitangata,NZ,52.38,overcast clouds,-46.2817,169.8464,Asure St Johns Court Motel
53,Sao Gabriel Da Cachoeira,BR,72.82,overcast clouds,-0.1303,-67.0892,Alarne - Área De Lazer Do Alto Rio Negro
55,Butaritari,KI,81.0,light rain,3.0707,172.7902,Isles Sunset Lodge
56,Kodiak,US,51.31,scattered clouds,57.79,-152.4072,Best Western Kodiak Inn
59,Herat,AF,56.98,clear sky,34.5,62.0,Nazary 4 Star Hotel
61,Khon Kaen,TH,78.44,overcast clouds,16.5,102.0833,Major Grand
62,Castrillon,ES,55.17,few clouds,43.3979,-6.7922,Palacio Arias & Hotel y Apartamentos Arias
64,Portland,US,69.49,broken clouds,45.5234,-122.6762,Embassy Suites by Hilton Portland Downtown
65,Vila Do Maio,CV,77.79,light rain,15.1333,-23.2167,Hotel Villa Morgana Cape Verde
66,Vao,NC,72.64,broken clouds,-22.6667,167.4833,Le Méridien Ile des Pins
67,Atuona,PF,76.75,scattered clouds,-9.8,-139.0333,Villa Enata
68,Cabo San Lucas,MX,83.61,clear sky,22.8909,-109.9124,Hotel Tesoro Los Cabos
69,Tabou,CI,75.45,light rain,4.423,-7.3528,hotêl doufoulougou
71,East London,ZA,67.14,clear sky,-33.0153,27.9116,Tu Casa
73,Sao Miguel Do Araguaia,BR,79.84,scattered clouds,-13.275,-50.1628,Pousada Canoeiros
74,Bonthe,SL,76.69,overcast clouds,7.5264,-12.505,Bonthe Holiday Village
75,Port Lincoln,AU,65.26,overcast clouds,-34.7333,135.8667,Port Lincoln Hotel
76,Saldanha,ZA,57.25,overcast clouds,-33.0117,17.9442,Club Mykonos Resort
77,Hobart,AU,66.06,broken clouds,-42.8794,147.3294,St Ives Hobart Accommodation Tasmania
78,Port Alfred,ZA,70.72,overcast clouds,-33.5906,26.891,The Halyards Hotel
80,Manggar,ID,77.79,overcast clouds,-2.8833,108.2667,Guest Hotel
81,Bredasdorp,ZA,65.48,overcast clouds,-34.5322,20.0403,Bredasdorp Country Manor
84,Mattru,SL,73.18,light rain,7.6244,-11.8332,"Mondkor Town, Bagbo Chiefdom, Bo District"
85,Camocim,BR,78.3,few clouds,-2.9022,-40.8411,Ilha Praia Hotel
86,Carnarvon,AU,66.0,broken clouds,-24.8667,113.6333,Hospitality Carnarvon
88,Turayf,SA,61.05,clear sky,31.6725,38.6637,Turaif
89,Hambantota,LK,84.54,few clouds,6.1241,81.1185,Palm Paradise Cabanas & Villas Beach Resort Tangalle
91,Silifke,TR,70.81,clear sky,36.3778,33.9344,Rain Hotel
93,Kavaratti,IN,80.67,overcast clouds,10.5669,72.642,Green leaf
95,Katsuura,JP,73.72,overcast clouds,35.1333,140.3,Kichimu
97,Brownwood,US,74.97,overcast clouds,31.7093,-98.9912,La Quinta Inn & Suites by Wyndham Brownwood
98,Kavieng,PG,84.94,scattered clouds,-2.5744,150.7967,Lissenung Island Resort
101,Ponta Delgada,PT,71.51,broken clouds,37.7333,-25.6667,Vila Nova Hotel
104,Mahebourg,MU,74.25,broken clouds,-20.4081,57.7,Hilton Mauritius Resort & Spa
107,Sanchez,DO,74.98,clear sky,19.2281,-69.6137,"Viva Wyndham V Samana - All-Inclusive Resort, Adults Only"
109,Dhule,IN,82.29,overcast clouds,20.9,74.7833,Hotel Dwarkamai
110,Birobidzhan,RU,54.07,clear sky,48.8,132.95,Hotel Central (Vostok)
111,Caravelas,BR,75.2,few clouds,-17.7125,-39.2481,Pousada Verdes Mares
112,Ribeira Grande,PT,68.77,clear sky,38.5167,-28.7,Hotel do Canal | Horta - Faial
114,Brownsville,US,80.91,overcast clouds,25.9018,-97.4975,Best Western Hotel Plaza Matamoros
115,Carutapera,BR,77.36,scattered clouds,-1.195,-46.02,Lidera
118,Tual,ID,83.16,broken clouds,-5.6667,132.75,Grand Vilia Hotel
119,Trelew,AR,59.97,broken clouds,-43.249,-65.3051,Hotel Touring Club
120,Harper,LR,75.47,light rain,4.375,-7.7169,Screensaver
122,Isangel,VU,82.51,broken clouds,-19.55,169.2667,Volcano Island Paradise Bungalows
123,Kalpi,IN,79.57,overcast clouds,26.1167,79.7333,Raj Guest House And Restaurant.
124,Bubaque,GW,81.61,few clouds,11.2833,-15.8333,Ponta Anchaca Lodge
127,Gladstone,AU,78.78,overcast clouds,-23.85,151.25,Highpoint International Hotel
132,Concepcion Del Oro,MX,61.16,broken clouds,24.6333,-101.4167,Hotel Hacienda San Javier
133,Mikhaylovka,RU,53.78,overcast clouds,50.06,43.2379,
134,Saint George,US,74.95,clear sky,37.1041,-113.5841,Best Western Plus Abbey Inn
135,Port Hedland,AU,93.25,few clouds,-20.3167,118.5667,The Esplanade Hotel
139,Camacha,PT,67.42,scattered clouds,33.0833,-16.3333,Hotel Porto Santo & Spa
140,Sokoni,TZ,73.26,clear sky,-6.4333,39.55,Paje By Night
142,Abha,SA,53.85,clear sky,18.2164,42.5053,Abha Hotel
143,Praya,CV,77.54,scattered clouds,14.9215,-23.5087,Hotel Villa Morgana Cape Verde
144,Eyl,SO,78.62,scattered clouds,7.9803,49.8164,EYL AQUE SYSTEM
145,Kuruman,ZA,68.0,overcast clouds,-27.4524,23.4325,A HOTEL KURUMAN
147,Biak,ID,79.23,overcast clouds,-0.9131,122.8766,Hotel Santika Luwuk
148,Cochrane,CA,52.43,overcast clouds,51.1834,-114.4687,Days Inn & Suites by Wyndham Cochrane
149,Charters Towers,AU,87.51,broken clouds,-20.1,146.2667,Cattleman's Rest Motor Inn
150,Safut,JO,59.32,haze,32.0336,35.8332,Amman International Hotel
152,Muli,MV,81.36,overcast clouds,2.9167,73.5667,Medhufushi Island Resort
153,Crevenicu,RO,54.09,overcast clouds,44.2408,25.5886,SC Ilarian LLC - Casa Emerio
154,General Roca,AR,61.11,overcast clouds,-39.0333,-67.5833,Hotel El Recreo
155,Kaeo,NZ,67.32,overcast clouds,-35.1,173.7833,Copthorne Hotel and Resort Bay of Islands
158,Flinders,AU,65.17,overcast clouds,-34.5833,150.8552,Shellharbour Resort & Conference Centre
159,Fortuna,US,54.93,few clouds,40.5982,-124.1573,Bear River Casino Resort
160,Vanimo,PG,84.79,broken clouds,-2.6741,141.3028,Vahmoneh Lodge Vanimo
161,Kerema,PG,83.97,overcast clouds,-7.9631,145.7785,Frena Lodge
164,Honiara,SB,84.13,broken clouds,-9.4333,159.95,Heritage Park Hotel
165,Chimbote,PE,60.96,scattered clouds,-9.0853,-78.5783,Hotel Briliá
166,Alofi,NU,76.89,moderate rain,-19.0595,-169.9187,Scenic Matavai Resort Niue
169,Bismarck,US,58.64,clear sky,46.8083,-100.7837,Bismarck Hotel and Conference Center
170,Avera,US,63.91,clear sky,33.194,-82.5271,April darren
171,Arraial Do Cabo,BR,70.9,light rain,-22.9661,-42.0278,Pousada Porto Praia
172,Abu Samrah,SY,64.63,clear sky,35.3029,37.1841,منزال محمد الخالد
174,Aripuana,BR,71.46,light rain,-9.1667,-60.6333,Hotel paloma
175,Jawhar,SO,76.42,scattered clouds,2.7809,45.5005,Hotel Shabelle
177,Hualahuises,MX,70.2,broken clouds,24.8847,-99.6733,Best Western Bazarell Inn | Hotel | Restaurante | Salón de Eventos | Sala de Juntas | Alberca | Montemorelos | Nuevo León
180,Nambucca Heads,AU,69.8,overcast clouds,-30.65,153.0,Marcel Towers Holiday Apartments
181,Ponta Do Sol,PT,71.01,few clouds,32.6667,-17.1,Golden Residence Hotel
182,Puerto Del Rosario,ES,69.55,overcast clouds,28.5004,-13.8627,Barceló Fuerteventura Castillo
183,Bilma,NE,79.14,clear sky,18.6853,12.9164,Expeditions Ténére voyages
184,Kikuchi,JP,64.94,broken clouds,32.9833,130.8167,清流荘
186,Nemuro,JP,57.96,overcast clouds,43.3236,145.575,Hotel Nemuro Kaiyoutei
187,Bengkulu,ID,80.13,overcast clouds,-3.8004,102.2655,Grage Hotel Bengkulu
189,Steamboat Springs,US,53.19,clear sky,40.485,-106.8317,Steamboat Grand
190,New Norfolk,AU,65.71,overcast clouds,-42.7826,147.0587,The Shingles Riverside Cottages
192,Samarai,PG,82.71,few clouds,-10.6167,150.6667,Tawali Resort
193,Awbari,LY,68.23,scattered clouds,26.5921,12.7805,استراحة الشارب العائلي
194,Waipawa,NZ,53.94,overcast clouds,-41.4122,175.5153,The Claremont Motel and Apartments Martinborough
