,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Wattegama,LK,6.7989,81.4808,81.84,69,21,5.03,few clouds
1,Asosa,ET,10.0667,34.5333,59.23,88,98,3.62,overcast clouds
2,Curumani,CO,9.1999,-73.5427,75.15,95,89,3.18,overcast clouds
3,Rocha,UY,-34.4833,-54.3333,42.53,89,1,4.54,clear sky
4,Tuktoyaktuk,CA,69.4541,-133.0374,32.0,80,100,11.5,overcast clouds
5,Vaini,TO,-21.2,-175.2,78.96,69,40,21.85,scattered clouds
6,Barrow,US,71.2906,-156.7887,30.22,86,100,18.41,overcast clouds
7,Busselton,AU,-33.65,115.3333,56.8,57,99,12.5,overcast clouds
8,Ushuaia,AR,-54.8,-68.3,38.86,75,0,4.61,clear sky
9,Villazon,BO,-22.0866,-65.5942,39.99,6,0,5.21,clear sky
10,Alice Springs,AU,-23.7,133.8833,90.95,40,80,8.05,broken clouds
11,Rikitea,PF,-23.1203,-134.9692,71.96,73,65,2.98,broken clouds
12,Sibolga,ID,1.7427,98.7792,84.58,63,68,3.02,broken clouds
13,Coquimbo,CL,-29.9533,-71.3436,51.53,87,0,3.44,clear sky
14,Ouargaye,BF,11.5033,0.0572,76.91,76,7,6.33,clear sky
15,Punta Arenas,CL,-53.15,-70.9167,44.71,65,0,10.36,clear sky
16,Bluff,NZ,-46.6,168.3333,50.16,55,62,16.35,broken clouds
17,Albany,US,42.6001,-73.9662,47.44,93,8,3.44,clear sky
18,Omboue,GA,-1.5746,9.2618,75.56,90,100,4.36,overcast clouds
19,Upernavik,GL,72.7868,-56.1549,18.03,67,99,3.65,overcast clouds
20,Santa Clara,CU,22.4,-79.9667,76.66,94,75,3.44,light rain
21,Hilo,US,19.7297,-155.09,82.27,91,100,1.99,light rain
22,Cape Town,ZA,-33.9258,18.4232,64.11,80,75,27.63,broken clouds
23,Byron Bay,AU,-28.65,153.6167,70.95,55,70,15.01,broken clouds
24,Saint-Leu,RE,-21.15,55.2833,72.46,74,39,2.24,scattered clouds
25,Vardo,NO,70.3705,31.1107,44.58,93,100,16.11,overcast clouds
26,Santa Isabel Do Rio Negro,BR,-0.4139,-65.0192,74.55,94,100,2.62,light rain
27,Cidreira,BR,-30.1811,-50.2056,59.58,97,100,11.9,light rain
28,Verkhnevilyuysk,RU,63.4453,120.3167,29.55,80,87,3.78,overcast clouds
29,Saskylakh,RU,71.9167,114.0833,13.86,94,79,8.46,broken clouds
30,Mataura,NZ,-46.1927,168.8643,52.03,51,98,8.08,overcast clouds
31,Kapaa,US,22.0752,-159.319,82.38,75,40,4.61,scattered clouds
32,Malyn,UA,50.7723,29.2383,38.39,86,21,1.52,few clouds
